,t1,t3,e2,best fitness,,,,,,,,,,,,,
0,0.361700825,0.001195277,0.991614559,0.07784814,27.659835,99.76094464,10.1793955,,,,,,,,,,
1,0.41769024,0.526525943,0.984783562,0.056658339,16.46195193,5.305188544,9.420395811,,,,,,,,,,
2,0.481624238,0.466534303,0.797249686,0.023793349,3.675152497,6.693139434,11.41670155,,,,,,,,,,
3,0.481624238,0.466534303,0.797249686,0.023793349,3.675152497,6.693139434,11.41670155,,,,,0.49804724,0.390552043,0.484614186,3.07716283,0.501971288,0.394257646
4,0.541559068,0.400845448,0.825189529,0.040702883,8.31181351,19.83091035,8.312274561,,,,,0.455655085,8.86898298,0.49916386,0.167228027,0.500734514,0.146902807
5,0.481624238,0.466534303,0.797249686,0.023793349,3.675152497,6.693139434,11.41670155,,,,,0.991614559,10.1793955,0.908633008,0.959223118,0.898129001,0.207888723
6,0.481624238,0.466534303,0.797249686,0.023793349,3.675152497,6.693139434,11.41670155,,,,,,,,,,
7,0.41769024,0.526525943,0.984783562,0.023084116,16.46195193,5.305188544,9.420395811,,,,,,,,,,
8,0.41769024,0.526525943,0.891644836,0.021014877,16.46195193,5.305188544,0.928351553,,,,,,,,,,
9,0.464182519,0.417800789,0.888988463,0.022198394,7.163496112,16.43984223,1.223504137,,,,,,,,,,
10,0.49804724,0.455655085,0.991614559,0.012871962,0.390552043,8.86898298,10.1793955,,,,,,,,,,
11,0.49729346,0.455655085,0.991614559,0.012773724,0.54130809,8.86898298,10.1793955,,,,,,,,,,
12,0.421662531,0.522556007,0.894432123,0.019559195,15.66749375,4.511201341,0.618653027,,,,,,,,,,
13,0.472082504,0.481318844,0.854010276,0.009099925,5.583499235,3.736231214,5.109969334,,,,,,,,,,
14,0.472082504,0.481318844,0.854010276,0.01039194,5.583499235,3.736231214,5.109969334,,,,,,,,,,
15,0.49729346,0.455655085,0.859320382,0.010431754,0.54130809,8.86898298,4.51995751,,,,,,,,,,
16,0.472082504,0.481318844,0.854010276,0.009099925,5.583499235,3.736231214,5.109969334,,,,,,,,,,
17,0.522967979,0.495268511,0.87502741,0.002502598,4.593595766,0.946297722,2.774732201,,,,,,,,,,
18,0.484212481,0.511912433,0.880670489,0.002092159,3.157503707,2.382486592,2.147723474,,,,,,,,,,
19,0.47365326,0.48575992,0.933320985,0.002373314,5.269347915,2.848015959,3.702331648,,,,,,,,,,
20,0.488058221,0.511912433,0.880670489,0.001595692,2.388355741,2.382486592,2.147723474,,,,,,,,,,
21,0.488058221,0.511912433,0.880670489,0.001595692,2.388355741,2.382486592,2.147723474,,,,,,,,,,
22,0.517033998,0.495268511,0.87502741,0.001602364,3.406799552,0.946297722,2.774732201,,,,,,,,,,
23,0.488058221,0.495313536,0.890734438,0.000975385,2.388355741,0.937292791,1.029506892,,,,,,,,,,
24,0.49799652,0.495313536,0.923282511,0.000425039,0.400695907,0.937292791,2.586945612,,,,,,,,,,
25,0.517033998,0.504414386,0.87502741,0.001205435,3.406799552,0.882877281,2.774732201,,,,,,,,,,
26,0.493270667,0.48575992,0.942267504,0.001454123,1.345866655,2.848015959,4.696389294,,,,,,,,,,
27,0.514586027,0.515118407,0.877874285,0.001392673,2.917205484,3.023681302,2.45841279,,,,,,,,,,
28,0.484614186,0.49916386,0.908633008,0.000758011,3.07716283,0.167228027,0.959223118,,,,,,,,,,
29,0.49799652,0.495313536,0.923282511,0.000425039,0.400695907,0.937292791,2.586945612,,,,,,,,,,
30,0.508609626,0.500996022,0.885575367,0.000348392,1.72192528,0.199204483,1.602737005,,,,,,,,,,
31,0.49799652,0.495313536,0.923282511,0.000425039,0.400695907,0.937292791,2.586945612,,,,,,,,,,
32,0.503066406,0.502243805,0.880456454,0.000337066,0.613281103,0.448760938,2.1715051,,,,,,,,,,
33,0.503066406,0.502243805,0.880456454,0.000337066,0.613281103,0.448760938,2.1715051,,,,,,,,,,
34,0.508609626,0.500996022,0.885575367,0.000348392,1.72192528,0.199204483,1.602737005,,,,,,,,,,
35,0.494805913,0.490118028,0.908633008,0.000361147,1.038817428,1.976394411,0.959223118,,,,,,,,,,
36,0.497812803,0.500996022,0.885575367,0.000303668,0.437439421,0.199204483,1.602737005,,,,,,,,,,
37,0.497812803,0.500996022,0.885575367,0.000406065,0.437439421,0.199204483,1.602737005,,,,,,,,,,
38,0.497812803,0.500996022,0.885575367,0.000303668,0.437439421,0.199204483,1.602737005,,,,,,,,,,
39,0.497812803,0.500996022,0.885575367,0.000303668,0.437439421,0.199204483,1.602737005,,,,,,,,,,
40,0.497812803,0.500996022,0.885575367,0.000303668,0.437439421,0.199204483,1.602737005,,,,,,,,,,
41,0.494805913,0.499141283,0.908633008,0.000109363,1.038817428,0.171743329,0.959223118,,,,,,,,,,
42,0.503046986,0.503693776,0.898575014,8.05E-05,0.609397192,0.738755201,0.158331757,,,,,,,,,,
43,0.503066406,0.502243805,0.910750547,0.000260007,0.613281103,0.448760938,1.194505233,,,,,,,,,,
44,0.500174708,0.495675774,0.893540705,0.000155449,0.034941504,0.86484523,0.717699431,,,,,,,,,,
45,0.503046986,0.503693776,0.898575014,8.05E-05,0.609397192,0.738755201,0.158331757,,,,,,,,,,
46,0.502485255,0.505063329,0.899805211,0.000127767,0.497051074,1.012665793,0.02164325,,,,,,,,,,
47,0.497801788,0.501239771,0.89956731,2.70E-05,0.439642494,0.247954149,0.04807668,,,,,,,,,,
48,0.497801788,0.501239771,0.89956731,4.21E-05,0.439642494,0.247954149,0.04807668,,,,,,,,,,
49,0.497801788,0.501239771,0.89956731,2.70E-05,0.439642494,0.247954149,0.04807668,,,,,,,,,,
50,0.501971288,0.500734514,0.898129001,1.40E-05,0.394257646,0.146902807,0.207888723,,,,,,,,,,
51,0.501971288,0.500734514,0.898129001,1.44E-05,0.394257646,0.146902807,0.207888723,,,,,,,,,,
52,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
53,0.501971288,0.500734514,0.898129001,1.40E-05,0.394257646,0.146902807,0.207888723,,,,,,,,,,
54,0.49889535,0.501489159,0.902918712,2.48E-05,0.220929906,0.297831872,0.324301339,,,,,,,,,,
55,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
56,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
57,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
58,0.49889535,0.500634598,0.899853499,6.83E-06,0.220929906,0.126919529,0.016277936,,,,,,,,,,
59,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
60,0.49976379,0.499052186,0.899048162,6.36E-06,0.047242083,0.189562882,0.105759832,,,,,,,,,,
61,0.49976379,0.499052186,0.899048162,6.36E-06,0.047242083,0.189562882,0.105759832,,,,,,,,,,
62,0.499876648,0.500634598,0.899853499,1.63E-06,0.024670419,0.126919529,0.016277936,,,,,,,,,,
63,0.49976379,0.500525792,0.899048162,1.91E-06,0.047242083,0.105158393,0.105759832,,,,,,,,,,
64,0.499876648,0.500634598,0.899853499,1.63E-06,0.024670419,0.126919529,0.016277936,,,,,,,,,,
65,0.500429785,0.499363737,0.898485862,5.25E-06,0.085956975,0.127252659,0.16823757,,,,,,,,,,
66,0.49976379,0.500525792,0.899048162,1.91E-06,0.047242083,0.105158393,0.105759832,,,,,,,,,,
67,0.500596434,0.499113262,0.89956731,5.11E-06,0.119286731,0.177347501,0.04807668,,,,,,,,,,
68,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
69,0.499876648,0.49986204,0.899853499,2.97E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
70,0.49976379,0.500525792,0.899048162,1.91E-06,0.047242083,0.105158393,0.105759832,,,,,,,,,,
71,0.499280256,0.500201218,0.89979549,2.49E-06,0.1439489,0.040243564,0.022723354,,,,,,,,,,
72,0.49936296,0.499971134,0.89949924,2.38E-06,0.127407943,0.005773246,0.055639997,,,,,,,,,,
73,0.499876648,0.49986204,0.899853499,2.44E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
74,0.499675244,0.499971134,0.900048539,4.06E-07,0.064951296,0.005773246,0.005393258,,,,,,,,,,
75,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
76,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
77,0.500596434,0.500262019,0.89956731,1.35E-06,0.119286731,0.052403729,0.04807668,,,,,,,,,,
78,0.499876648,0.49986204,0.899853499,2.13E-07,0.024670419,0.027592012,0.016277936,,,,,,,,,,
79,0.500130392,0.500126116,0.89956731,1.61E-07,0.026078441,0.025223259,0.04807668,,,,,,,,,,
80,0.500130392,0.500126116,0.89956731,1.61E-07,0.026078441,0.025223259,0.04807668,,,,,,,,,,
81,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
82,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
83,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
84,0.500021782,0.500033344,0.90019961,6.31E-08,0.004356472,0.00666878,0.022178933,,,,,,,,,,
85,0.500130392,0.500126116,0.89956731,1.61E-07,0.026078441,0.025223259,0.04807668,,,,,,,,,,
86,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
87,0.500017346,0.499971134,0.900048539,2.45E-08,0.003469181,0.005773246,0.005393258,,,,,,,,,,
88,0.500021782,0.500033344,0.90019961,6.31E-08,0.004356472,0.00666878,0.022178933,,,,,,,,,,
89,0.500002419,0.499893898,0.899890233,7.46E-08,0.000483849,0.021220489,0.012196328,,,,,,,,,,
90,0.500017346,0.499971134,0.900048539,6.32E-09,0.003469181,0.005773246,0.005393258,,,,,,,,,,
91,0.500002419,0.499982956,0.899890233,1.59E-08,0.000483849,0.003408875,0.012196328,,,,,,,,,,
92,0.500030426,0.500108045,0.899822866,4.70E-08,0.006085165,0.021608947,0.019681502,,,,,,,,,,
93,0.500002419,0.499982956,0.899890233,1.59E-08,0.000483849,0.003408875,0.012196328,,,,,,,,,,
94,0.500053948,0.499937003,0.899958557,3.10E-08,0.010789554,0.012599488,0.004604756,,,,,,,,,,
95,0.500053948,0.499937003,0.900049739,3.05E-08,0.010789554,0.012599488,0.005526511,,,,,,,,,,
96,0.500021782,0.499993892,0.899910724,8.26E-09,0.004356472,0.001221679,0.00991951,,,,,,,,,,
97,0.500021782,0.499993892,0.899910724,1.12E-08,0.004356472,0.001221679,0.00991951,,,,,,,,,,
98,0.500021782,0.499993892,0.899910724,8.26E-09,0.004356472,0.001221679,0.00991951,,,,,,,,,,
99,0.499969841,0.499931122,0.900152877,2.45E-08,0.006031781,0.013775557,0.016986292,,,,,,,,,,
